"city","cityname","countryname","Region","pop","gdp","lat","long","kgclzone","MeanST","IQR","Range","hwscore","hwclass","coef1","coef2","coef3","coef4","vcov1","vcov2","vcov3","vcov4","vcov5","vcov6","vcov7","vcov8","vcov9","vcov10"
"brno.cze9420","Brno","Czechia","Eastern Europe",377000,6028,"49.1951","16.6068","Cfb","17.9","6.1","26.2",12,2,-0.191270683251211,-0.107172563695739,0.0557156661756602,0.482588532158094,0.0675904744978122,0.0442436703296749,0.0619419628174617,0.0377178742982119,0.0334692710918828,0.0404876850601172,0.0323902131706696,0.0632270849603545,0.0253521888770404,0.0815531724286778
"ostr.cze9420","Ostrava","Czechia","Eastern Europe",294000,6028,"49.8209","18.2625","Cfb","17","5.9","26.8",12,2,0.0247330588319314,0.106638940712235,0.255014915715438,0.47011736653371,0.125641764489592,0.0864583163762212,0.115628952664128,0.0718287187589943,0.0657985325031201,0.0796053794890868,0.0608028395843366,0.115084652349091,0.0523608188084137,0.122904605434221
"prag.cze9420","Prague","Czechia","Eastern Europe",1259000,6028,"50.0755","14.4378","Cfb","16.5","6.2","27.6",12,2,-0.00797468367679895,-0.0354284958037952,0.19405543702866,0.535336542475128,0.0394066641872886,0.0275923579153048,0.0363080086960359,0.0249835654863563,0.0210028243517939,0.0254112083847357,0.0201973382947512,0.0354499891348381,0.0203755484742669,0.0330676150215138
"hlsn.fnl9414","Helsinki","Finland","Northern Europe",624000,24345,"60.1674881","24.9427473","Dfb","14.4","6","24.4",9,1,0.20594634407233,0.0401779501248373,0.173245252790073,0.670423109141529,0.0311755644565809,0.0201266522341168,0.0270302912348931,0.0162040491886835,0.0163972033857816,0.0184354405907603,0.0151151786177371,0.0279349026635119,0.0102190855072746,0.0390769438394163
"brdx.fra0017","Bordeaux","France","Western Europe",697913,22416,"44.83","-0.57","Cfb","19.6","4.8","24",30,3,0.0545738301973081,0.053580339943578,0.135976916771491,1.37865660932021,0.118236153358149,0.0846392268674536,0.109422566897046,0.0789884548288188,0.0682216706490907,0.0785593872378975,0.0668958038191132,0.109220916793947,0.0653644523421414,0.101324370486106
"clfr.fra0017","Clermont-Ferrand","France","Western Europe",230818,22416,"45.78","3.08","Cfb","18.3","5.6","26.5",30,3,-0.217906836677935,-0.33006547825941,-0.0911120741593388,0.534131466951025,0.295905288868961,0.213252799529669,0.263971294473661,0.216297849258209,0.169476343303807,0.19283942531733,0.172435381022024,0.249305809911625,0.187702333667412,0.214465495229151
"dijn.fra0017","Dijon","France","Western Europe",243244,22416,"47.32","5.02","Cfb","18.1","5.4","25.1",30,3,-0.728239381681753,-0.455321011745349,-0.657561280253566,1.24681721521817,0.15330328775345,0.102494597873004,0.13788964314596,0.106400867734002,0.0829720188142383,0.0945867553571184,0.0854928178452758,0.139511962698058,0.0923692005087391,0.164004214140674
"grnb.fra0017","Grenoble","France","Western Europe",485391,22416,"45.17","5.72","Cfb","17.9","5.6","24",30,3,-0.189559706020622,-0.00918769234339822,0.109472054497396,1.05369650530987,0.115389247908785,0.0779984998267963,0.100176472151116,0.0792144704016965,0.0617026972652861,0.0697343115413179,0.0630333741085774,0.0953008212873576,0.0668200532270632,0.10648494113704
"lhvr.fra0017","Le Havre","France","Western Europe",235257,22416,"49.5","0.13","Cfb","16.4","3.5","22.1",30,3,0.325332812259938,0.344243035838685,0.0493640675606373,1.85556159354335,0.157447868705421,0.102942669546965,0.145875004577233,0.099035200203308,0.0857210847747792,0.0930001212006395,0.0931715301166181,0.171182706890765,0.0398333314481392,0.308697520425118
"lill.fra0017","Lille","France","Western Europe",323470,22416,"50.63","3.07","Cfb","16.8","4.4","21.9",30,3,0.318074691438503,0.136197389779706,0.323562591892551,0.661464932881202,0.0431563393675708,0.0283465008547282,0.0391078528875873,0.0267690483115411,0.0227109176542977,0.0256443795501222,0.0236996163394334,0.0405957599938157,0.0173584559786556,0.0523518056011615
"lndu.fra0017","Lens-Douai","France","Western Europe",1135348,22416,"50.4","2.95","Cfb","16.8","4.4","21.9",30,3,-0.0988277852520769,-0.169200644184275,0.205445269986992,-0.20843315979426,0.115813510867953,0.0757681585573353,0.104789116382968,0.0711911605702037,0.0607574694076203,0.0683763469303292,0.063529284544828,0.109109731842888,0.0447261947677512,0.146163120811061
"lyon.fra0017","Lyon","France","Western Europe",1095556,22416,"45.75","4.85","Cfb","19.9","5.8","25",30,3,-0.224227848736622,-0.0226811880657322,-0.0728567255297071,1.50310949347,0.0471162648706223,0.0321732636390961,0.0416407441785576,0.0333785142540401,0.0262272092288449,0.0291365392805076,0.0271849046068418,0.0406064646814209,0.0285126537969568,0.0435887245704999
"mntp.fra0017","Montpellier","France","Western Europe",428909,22416,"43.6","3.88","Csa","21.6","4.9","20.9",30,3,-0.0589249257548736,-0.12427121305688,0.0549382068307109,0.106487612987043,0.179713187079426,0.121553761944572,0.160017058489763,0.0979655373894034,0.0990175547494588,0.113331733930804,0.0900779264169281,0.162232056303379,0.066093037713395,0.25817547108268
"mrsl.fra0017","Marseille","France","Western Europe",983721,22416,"43.3","5.4","Csa","22.2","5.2","22.9",30,3,0.0573343120436566,-0.0464207953526594,0.212989939050657,0.495940933790156,0.0496042668777501,0.0355535703418628,0.0436042210422913,0.0300682430898622,0.0301480997989487,0.0328463697386269,0.029302155732617,0.042937329706501,0.0240310715135284,0.0853670307813462
