"city","cityname","countryname","Region","pop","gdp","lat","long","kgclzone","MeanST","IQR","Range","hwscore","hwclass","period","year","hwi","hws","hwc","die","tmean","coef1","coef2","coef3","coef4","vcov1","vcov2","vcov3","vcov4","vcov5","vcov6","vcov7","vcov8","vcov9","vcov10"
"brno.cze9420","Brno","Czechia","Eastern Europe",377000,6028,"49.1951","16.6068","Cfb","17.9","6.1","26.2",12,2,"1996-1998",1997,18.5,0,0,4941,16.9614379084967,-1.28604676183949,-0.598716196660037,-1.20042913298892,-0.318775289398981,0.265065829683329,0.146866952090147,0.274131909512121,0.00465277595871257,0.108359622371543,0.137451061364869,0.0863832527987903,0.384718668330475,-0.341367274278361,2.22815769785128
"brno.cze9420","Brno","Czechia","Eastern Europe",377000,6028,"49.1951","16.6068","Cfb","17.9","6.1","26.2",12,2,"1999-2001",2000,19.3,0,2,4828,17.7108932461874,-0.937169054591652,-0.496609240292759,-0.717629003686792,-0.693386254497171,0.880233246239672,0.570533565517809,0.867561456378077,0.0279628845907966,0.390716794153872,0.55327893140999,0.100642241532711,0.920603933116275,-0.263412618070568,2.86216021338278
"brno.cze9420","Brno","Czechia","Eastern Europe",377000,6028,"49.1951","16.6068","Cfb","17.9","6.1","26.2",12,2,"2002-2004",2003,16,1,2,4886,18.1871459694989,-0.948022802262935,-0.672570145485817,-0.0561344264943217,-5.15876095018669,0.408142695797946,0.238336739937275,0.400912687104777,-0.305247941305958,0.166827882513938,0.225088361753604,0.0152781423789887,0.462498157892663,-0.864462810612004,8.02088217657727
"brno.cze9420","Brno","Czechia","Eastern Europe",377000,6028,"49.1951","16.6068","Cfb","17.9","6.1","26.2",12,2,"2005-2007",2006,35.4,1,2,4784,17.5440087145969,0.527420431844815,0.322247602136645,0.727144184009293,0.458591750212604,0.293685522267997,0.18260332017357,0.260105283003353,0.159232826076348,0.13249150017335,0.159001810340765,0.132315252000629,0.260870556012215,0.104424335903425,0.365845219568561
"brno.cze9420","Brno","Czechia","Eastern Europe",377000,6028,"49.1951","16.6068","Cfb","17.9","6.1","26.2",12,2,"2008-2010",2009,19.9,1,2,4593,17.8795206971678,0.50406400950036,0.383192549332593,0.472594739205599,1.73872514236412,0.366654750691455,0.216487761276611,0.359098852491692,-0.0460668313142241,0.151413513737422,0.204374356759773,0.0618978643622882,0.431444635696136,-0.300341427903142,1.91851977516604
"brno.cze9420","Brno","Czechia","Eastern Europe",377000,6028,"49.1951","16.6068","Cfb","17.9","6.1","26.2",12,2,"2011-2013",2012,64.7,1,2,4580,18.3376906318083,1.08336177397822,0.619579944389953,0.974609197678777,1.37606668763776,0.690282986987103,0.418153149243573,0.609504276723621,0.362428774174092,0.284016940291452,0.368556461614618,0.271949798558785,0.586969337316062,0.231916266856367,0.581944223081047
"brno.cze9420","Brno","Czechia","Eastern Europe",377000,6028,"49.1951","16.6068","Cfb","17.9","6.1","26.2",12,2,"2014-2016",2015,92.5,1,2,4705,18.3296296296296,0.374414388312046,0.630270486760599,0.231702269866051,1.49212882044422,0.637101252325247,0.458058715250086,0.582622273241579,0.446760192706615,0.372219444629175,0.420289131865879,0.37393730076718,0.586515694765391,0.371169897217294,0.455145978897245
"brno.cze9420","Brno","Czechia","Eastern Europe",377000,6028,"49.1951","16.6068","Cfb","17.9","6.1","26.2",12,2,"2017-2019",2018,18.8,1,2,4822,18.1089324618736,0.927961901988851,0.451185095215653,1.474891008116,-1.02306651228408,0.197120388313389,0.108570648351231,0.189960116283691,-0.040869069194154,0.0829778241003422,0.107268223819899,0.0379075944278606,0.223197715568577,-0.204412154394029,1.91325773534598
"ostr.cze9420","Ostrava","Czechia","Eastern Europe",294000,6028,"49.8209","18.2625","Cfb","17","5.9","26.8",12,2,"1996-1998",1997,18.6,0,0,4210,15.9307189542484,0.400746845182857,0.0677855997617158,0.264534654073454,0.926053116675841,0.392628431041217,0.240748153669013,0.377096441940073,0.184134259404443,0.176293260607741,0.222154855780267,0.150869476277705,0.463299001389431,-0.0222114474875395,1.1274314848386
"ostr.cze9420","Ostrava","Czechia","Eastern Europe",294000,6028,"49.8209","18.2625","Cfb","17","5.9","26.8",12,2,"1999-2001",2000,15.6,0,2,3956,16.480174291939,0.241284018614423,0.273895465976558,0.289036684196786,1.09705418767274,1.46943257436675,1.01283261253464,1.43469219595352,0.352719145932447,0.734062755263779,0.977319407833959,0.35463294107349,1.50270460311957,-0.05670054756719,3.69262011708554
"ostr.cze9420","Ostrava","Czechia","Eastern Europe",294000,6028,"49.8209","18.2625","Cfb","17","5.9","26.8",12,2,"2002-2004",2003,14.4,1,2,4018,17.2821350762527,0.386546614824285,0.277010875651625,0.395444632042109,-0.910053001864702,0.85714002775632,0.574095678119812,0.77712887025323,0.363866016075917,0.421337629960535,0.522938547230912,0.32094620222829,0.80550101477314,-0.413304613484275,9.10221353817186
"ostr.cze9420","Ostrava","Czechia","Eastern Europe",294000,6028,"49.8209","18.2625","Cfb","17","5.9","26.8",12,2,"2005-2007",2006,45.3,1,2,4047,17.1117647058824,-1.16486316737321,-0.703914960287566,-1.12582837630382,0.445019754405052,0.658949556340795,0.435714338119605,0.573464877814216,0.323434400399293,0.319236389514097,0.374811143775223,0.29209892510406,0.549524130147079,0.181039895192832,0.78644916616307
