"region","hwsclass","country","year","hws","AN","ANlow","ANhigh","AF","AFlow","AFhigh"
"Eastern Europe","2","Czechia","1991","NaN","NaN",NA,NA,"NaN",NA,NA
"Eastern Europe","2","Czechia","1994","NaN","NaN",NA,NA,"NaN",NA,NA
"Eastern Europe","2","Czechia","1997","0","2.47020401393268","1.23905758006716","3.57466550906169","0.54767138674288","0.274674727297809","0.792950881684284"
"Eastern Europe","2","Czechia","2000","1","2.97277131492451","2.00311343300744","3.90099816122404","0.688439358927847","0.464755768254991","0.902578681215787"
"Eastern Europe","2","Czechia","2003","1","5.1965343919022","3.8756272649011","6.41745985323028","1.19989422462802","0.895591252782426","1.48067482661238"
"Eastern Europe","2","Czechia","2006","1","6.26480937648573","4.94614361990627","7.45811655758476","1.47428740472549","1.1661792402742","1.75304202654974"
"Eastern Europe","2","Czechia","2009","1","6.53232592322191","5.15723431116774","7.74751052025986","1.5133870188485","1.19831490688634","1.79139824436875"
"Eastern Europe","2","Czechia","2012","1","8.20497805349903","6.54555833422286","9.69188792869967","1.92642782302015","1.54126815540824","2.27159827719015"
"Eastern Europe","2","Czechia","2015","1","13.6326136651716","10.6481563747737","16.1573440497926","3.15317862579496","2.47159942391878","3.72987700326564"
"Eastern Europe","2","Czechia","2018","1","10.8213729225173","8.38392094774918","13.0115824707925","2.49153407653387","1.93753265647461","2.98644222564906"
"Eastern Europe","2","Czechia","period1","0","2.47020401393268","1.23905758006716","3.57466550906169","0.54767138674288","0.274674727297809","0.792950881684284"
"Eastern Europe","2","Czechia","period2","1","7.66077223538889","6.14370644679787","8.95430415733803","1.7781640760684","1.42915627696901","2.07521214715931"
"Northern Europe","1","Finland","1991","NaN","NaN",NA,NA,"NaN",NA,NA
"Northern Europe","1","Finland","1994","NaN","NaN",NA,NA,"NaN",NA,NA
"Northern Europe","1","Finland","1997","0","2.92797609319997","1.08443404866868","4.42319764952265","0.641222654009164","0.237489534289632","0.968674075796257"
"Northern Europe","1","Finland","2000","0","0.76118202768516","0.425643385816269","1.03477474723079","0.162849457808757","0.091063362085492","0.221382665921834"
"Northern Europe","1","Finland","2003","0","5.4573859816299","3.07051775642615","7.68682797194719","1.15607407011556","0.650448029877758","1.62835147261346"
"Northern Europe","1","Finland","2006","0","4.17368481488654","2.6025331881562","5.63683020958564","0.909032923032879","0.566834453546063","1.22770752208776"
"Northern Europe","1","Finland","2009","0","6.91609911410377","4.48092407354809","9.04599419405862","1.46757396753596","0.950837663305603","1.91953084689161"
"Northern Europe","1","Finland","2012","1","5.9971191881644","3.80658725377536","7.9011736324997","1.25045746494139","0.793710329590942","1.64747126754728"
"Northern Europe","1","Finland","2015","NaN","NaN",NA,NA,"NaN",NA,NA
"Northern Europe","1","Finland","2018","NaN","NaN",NA,NA,"NaN",NA,NA
"Northern Europe","1","Finland","period1","0","4.04726560630107","2.52103594752442","5.44573231463778","0.867350614500464","0.539693300892939","1.1665186333329"
"Northern Europe","1","Finland","period2","1","5.9971191881644","3.80658725377536","7.9011736324997","1.25045746494139","0.793710329590942","1.64747126754728"
"Western Europe","3","France","1991","NaN","NaN",NA,NA,"NaN",NA,NA
"Western Europe","3","France","1994","NaN","NaN",NA,NA,"NaN",NA,NA
"Western Europe","3","France","1997","NaN","NaN",NA,NA,"NaN",NA,NA
"Western Europe","3","France","2000","NaN","NaN",NA,NA,"NaN",NA,NA
"Western Europe","3","France","2003","0","10.5247939804349","9.81615925079019","11.1228705274094","3.45776160185764","3.23758044294481","3.64510832178933"
"Western Europe","3","France","2006","1","6.70637278809783","6.11414061836601","7.2178762920303","2.25455302616531","2.06595130979104","2.41661340366833"
"Western Europe","3","France","2009","1","3.53384740590851","3.14350953119943","3.85722164737555","1.11130657681459","0.998831881356348","1.20627823772699"
"Western Europe","3","France","2012","1","4.65273374516787","3.98894740892053","5.2211654515286","1.49993909188699","1.29898977048346","1.67238847868728"
"Western Europe","3","France","2015","1","5.5823440687935","4.43978396909272","6.54010327814685","1.7374087557174","1.41204974089078","2.01265378013334"
"Western Europe","3","France","2018","NaN","NaN",NA,NA,"NaN",NA,NA
"Western Europe","3","France","period1","0","10.5247939804349","9.81615925079019","11.1228705274094","3.45776160185764","3.23758044294481","3.64510832178933"
"Western Europe","3","France","period2","1","5.11882450199193","4.4492825654558","5.67509561459653","1.65080186264607","1.45106385422013","1.81579278254536"
"Western Europe","3","Germany","1991","NaN","NaN",NA,NA,"NaN",NA,NA
"Western Europe","3","Germany","1994","0","11.8754333029098","10.4093481448576","13.2883265932026","2.49496136523604","2.18530746523696","2.7896070936144"
