city;country;cityname;countryname;pop;gdp;lat;long;kgclzone;kgclzone1;kgclzone2;Continent;Region;hwclass;hwscore;MeanST;Median;IQR;Range;trend
sttt.ger9320;ger9320;Stuttgart;Germany;623738;23694;48.7784485;9.1800132;Cfb;C;Cf;Europe;Western Europe;3;25;17.6;17.5;6;25.1;0.44
blgn.ita8715;ita8715;Bologna;Italy;385190;20137;44.4938203;11.3426327;Cfa;C;Cf;Europe;Southern Europe;3;22;22.5;22.8;6.3;29.5;-0.19
cglr.ita8715;ita8715;Cagliari;Italy;151959;20137;39.2169525;9.1128513;Csa;C;Cs;Europe;Southern Europe;3;22;23;23.5;5;19;-0.34
flrn.ita8715;ita8715;Florence;Italy;376841;20137;43.7698712;11.2555757;Cfb;C;Cf;Europe;Southern Europe;3;22;22.5;22.8;5.9;24.9;-0.24
geno.ita8715;ita8715;Genoa;Italy;584649;20137;44.40726;8.9338624;Csb;C;Cs;Europe;Southern Europe;3;22;22.2;22.6;4.4;21.8;-0.09
miln.ita8715;ita8715;Milan;Italy;1339812;20137;45.4641943;9.1896346;Cfa;C;Cf;Europe;Southern Europe;3;22;22.2;22.4;5.8;23.4;-0.42
plrm.ita8715;ita8715;Palermo;Italy;661091;20137;38.1112268;13.3524434;Csa;C;Cs;Europe;Southern Europe;3;22;24.2;24.6;5;26.5;-0.55
rome.ita8715;ita8715;Rome;Italy;2776835;20137;41.8933203;12.4829321;Csa;C;Cs;Europe;Southern Europe;3;22;22.1;22.5;5.5;24.3;0.46
bari.ita8715;ita8715;Bari;Italy;318031;20137;41.1257843;16.8620293;Cfb;C;Cf;Europe;Southern Europe;3;22;22.8;23;5.5;23.3;0.5
vtrb.ita8715;ita8715;Viterbo;Italy;65244;20137;42.4168441;12.1051148;Csa;C;Cs;Europe;Southern Europe;3;22;21.6;21.8;6.3;24.6;1.11
amst.net9516c;net9516c;Amsterdam;Netherlands;822000;26214;52.3727598;4.8936041;Cfb;C;Cf;Europe;Western Europe;2;15;16.1;16;4.3;20.8;0.22
